,ID,datetime,Acceleration x,Acceleration y,Acceleration z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,La,Lo,He,V,D,Ho,VA,Magnetic field x,Magnetic field y,Magnetic field z,Weather,Temperature (Celsius),UV index,Wind (m/s),Humidity (%),hate-enjoy,bored-interested,absorbed,tiring-energizing,depressed-happy,bad-good_physically,sense_accomplishment
59,2.0,2023-06-09 10:57:46.741113,-1.2667370937838414,0.7005150536263344,9.462596192312713,0.013290356640703976,-0.1991718409599737,-0.15746036027669907,-0.014691915852017701,0.006550206309184432,-0.023470959244295955,52.39737747072104,4.904156967277873,2.2507372396998107,0.8517719761868264,114.420265299198,5.068771171281816,5.068771171281816,-15.450987758636474,-15.386464881896973,-44.05491443634033,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
60,2.0,2023-06-09 10:57:56.741113,-1.138973991394043,0.7269318374633787,9.543100520324707,0.029015076667955615,-0.14572928911720467,-0.07427898670187094,0.03922078885497655,-0.017197420175122744,0.0010854426384119705,52.397306528177936,4.904282747943009,2.3395203267224134,1.1130616585086763,117.36562418824522,5.0268090236533665,5.0268090236533665,-19.781545620153445,-12.611907316906617,-44.05310081255318,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
61,2.0,2023-06-09 10:58:06.741113,-0.4163880769333037,0.9389039747785816,9.581158551508839,-0.028242773638466515,-0.1423976236133661,-0.1099577471643391,-0.0074282271676872035,0.004566296759882186,0.03473853169811318,52.397160652819615,4.904408632009475,2.266268150229007,1.1301893916195254,120.42207565457932,5.002738720185069,5.002738720185069,-22.172778913290195,-17.566158370216293,-40.99396794385249,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
62,2.0,2023-06-09 10:58:16.741113,-1.1504926866588028,0.44065691655225087,9.543434029758568,0.04070635016887717,-0.09044208065496002,-0.0852236833843854,-0.007154364198778231,-0.019839942824132373,-0.0196744636586397,52.39704311946109,4.904560231770906,2.447660582512617,0.9869244128850878,125.08568651676293,4.924964884165026,4.924964884165026,-13.80715279531951,-19.018771294319983,-44.23427147440391,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
63,2.0,2023-06-09 10:58:26.741113,-0.9397872864373841,1.8632273789207534,9.338141136547126,-0.004663742310740058,-0.1270838454589248,-0.09336362668275835,0.026638657907024025,-0.016241224352270364,0.02084780976874754,52.39693164572883,4.904750389145353,3.3061532207764683,1.0113962739679148,135.2689472131374,4.865754176288368,4.865754176288368,-9.117510528564454,-19.517134323120118,-39.761100425720215,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
64,2.0,2023-06-09 10:58:36.741113,-0.21505030059814456,2.3070010665893554,9.46624284667969,0.26218175951511336,-0.09459519139942851,-0.03551712258027332,0.009753319752946644,-0.02643591893311258,-0.15513153581206898,52.39686069078334,4.9049132846601875,2.5917461801320316,0.5372133802659339,140.689955176143,4.842142203389813,4.842142203389813,1.463139571765862,-22.34169029009224,-39.71337856632648,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
65,2.0,2023-06-09 10:58:46.741113,-0.10401587609017252,1.5360478512603462,9.482804169607634,-0.08646214965499226,-0.22097939594030977,-0.21234686417744889,-0.007963353371487396,0.04391923015199528,0.12728064014843785,52.39689519361205,4.905001151437412,2.1870705149136485,0.30957905019290705,225.5578126732402,4.921604137228898,4.921604137228898,8.300233831500062,-20.097555821484857,-40.331472755658744,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
66,2.0,2023-06-09 10:58:56.741113,-0.5937040000386756,2.7437423781593244,9.325207141838451,-0.0686990092482676,-0.025091456021412765,-0.009828214273594427,0.013074645325357076,0.032358218454709736,0.056068615999423185,52.39690825035079,4.905096770786625,2.5357195272110404,0.22743008379895407,183.75112852517074,5.008364909714355,5.008364909714355,-12.478381808441464,-20.3844410358089,-40.357791976173324,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
67,2.0,2023-06-09 10:59:06.741113,-0.30507450519221846,1.6996072327264464,9.50901748052918,0.1573442543081939,-0.1591568041831255,-0.17272653987407685,-0.0043354215659201145,0.04181500223232433,-0.0662624517455697,52.39692598891166,4.905166859128044,3.1331456222571434,0.1728238111857079,260.4783239746838,4.947658708068703,4.947658708068703,-7.941386756896972,-20.693158531188963,-42.05387622833252,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
68,2.0,2023-06-09 10:59:16.741113,-0.8603613693237304,1.3584416061401368,9.570688151550293,-0.025155956309915777,-0.21085540192736552,-0.08467299724569415,-0.01525088091897271,0.01087031438992829,0.0557507118233249,52.396912094794644,4.90526192133205,3.5012100149877368,0.38902941298061544,176.50728617771432,4.920416374817172,4.920416374817172,-5.534947102612788,-21.320812867419555,-41.156207622868,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
